,gen,bestFit,worstFit,meanFit,Nrepeats,orgulho,decpcao
154,154,0.09721197566990127,0.00017174282039481538,0.05256582740187077,8.6,14.0,1097.6
155,155,0.09721197566990127,9.827912417873221e-05,0.054634317717278294,8.0,11.2,1103.2
156,156,0.09721197566990127,2.3847707169695832e-05,0.05492624571422624,7.0,11.8,1109.4
157,157,0.09721197566990127,0.00014208878574852997,0.05443500632274447,6.8,12.4,1115.0
158,158,0.09721197566990127,0.00018670827586019537,0.052638187455322075,8.4,11.8,1121.2
159,159,0.09721197566990127,0.00014502736151347393,0.05401526910164629,9.0,12.6,1126.2
160,160,0.09721197566990127,8.798009142313007e-05,0.05577689029525155,10.8,13.6,1131.4
161,161,0.09721197566990127,8.389279406984439e-05,0.05366525290225149,10.6,11.6,1138.2
162,162,0.09721197566990127,0.00018670827586019537,0.059761928230888405,13.4,14.0,1142.6
163,163,0.09721197566990127,0.00015392343727761116,0.05963891933068779,12.2,12.2,1148.8
164,164,0.09721197566990127,0.00011751238738391162,0.06260020988066042,14.0,13.2,1153.2
165,165,0.09721197566990127,0.00017018078571137297,0.06524673933350673,13.6,15.2,1156.8
166,166,0.09721197566990127,0.00018670827586019537,0.06293621360521291,12.6,15.2,1160.4
167,167,0.09721197566990127,0.00011349744239794735,0.06186134642000061,11.8,14.6,1164.2
168,168,0.09721197566990127,8.118442577136749e-05,0.059864230907884175,10.8,13.2,1169.8
169,169,0.09721197566990127,6.146456619798698e-05,0.05742477739257871,9.6,13.0,1176.0
170,170,0.09721197566990127,0.00017906711956311582,0.05233297771479086,10.0,12.4,1182.0
171,171,0.09721197566990127,0.00017174282039481538,0.05800693591731913,10.6,12.0,1188.8
172,172,0.09721197566990127,0.00018670827586019537,0.05786242021609676,9.8,11.8,1195.4
173,173,0.09721197566990127,0.00018328422987139368,0.0572053923967753,11.0,13.4,1200.8
174,174,0.09721197566990127,6.63830759518851e-05,0.0621138160366993,10.6,13.2,1207.2
175,175,0.09721197566990127,0.00017174282039481538,0.06325787301776567,11.4,13.0,1213.4
176,176,0.09721197566990127,0.00018670827586019537,0.058625840860603906,10.8,12.4,1217.8
177,177,0.09721197566990127,0.00018328422987139368,0.059933466097311115,10.6,13.4,1222.8
178,178,0.09721197566990127,0.00011713542734973302,0.05772562669149458,9.2,12.4,1228.8
179,179,0.10035389452877438,0.00018328422987139368,0.05599426268238017,7.8,12.6,1234.2
180,180,0.10035389452877438,0.00018328422987139368,0.05517563208733804,7.2,12.4,1240.6
181,181,0.10035389452877438,0.00014285823499172984,0.05725015600525526,9.0,12.2,1246.4
182,182,0.10035389452877438,0.0001392842444148882,0.05898019570992876,8.8,15.0,1251.0
183,183,0.10035389452877438,0.00017906711956311582,0.06076631706632039,9.6,13.2,1256.2
184,184,0.10035389452877438,0.00011667763265242864,0.0590629632699889,10.4,13.2,1261.8
185,185,0.10035389452877438,0.00014684044720167277,0.05947820840165522,8.8,13.0,1266.8
186,186,0.10035389452877438,0.00015392343727761116,0.05766458265231572,9.8,11.0,1273.4
187,187,0.10035389452877438,0.00016003629683113003,0.05021426783742652,9.0,11.2,1281.0
188,188,0.10035389452877438,0.00011087871631775841,0.04819358920342213,9.0,10.0,1289.0
189,189,0.09721197566990127,0.00018328422987139368,0.049965895630838364,6.6,9.6,1298.2
190,190,0.10035389452877438,0.00014796378891941496,0.047806699136876456,6.6,10.2,1307.2
191,191,0.09721197566990127,0.00012219745235253113,0.04661328099764085,6.8,11.6,1314.8
192,192,0.09721197566990127,9.551802136432423e-05,0.052587061598930215,8.0,11.0,1321.8
193,193,0.09721197566990127,0.00013827578920221949,0.0537215168044495,8.6,11.0,1329.2
194,194,0.10189323622389104,0.00015111817559782063,0.055600873710547824,8.4,11.2,1336.4
195,195,0.09721197566990127,0.00012789277952634986,0.04843789890495383,5.8,10.4,1344.8
196,196,0.09721197566990127,0.00016151237284041706,0.04876411441511443,6.4,11.6,1352.0
197,197,0.09721197566990127,0.00012460528587138076,0.048161198450077616,7.6,10.0,1360.4
198,198,0.09721197566990127,1.923526517157853e-05,0.044874070232573504,6.4,9.6,1369.6
199,199,0.10534015561197267,0.00014885606625745243,0.04733348707527092,6.4,9.2,1378.8
200,200,0.11656439644076526,0.00014628228098053161,0.04829634232325616,7.2,9.8,1387.8
201,201,0.11656439644076526,0.00015661225084232828,0.052205198904341055,7.0,11.2,1395.0
202,202,0.09721197566990127,0.00017852233012689294,0.04754126409489008,5.8,10.4,1402.2
203,203,0.09482160004696398,7.354326947428793e-05,0.048434086969114686,6.0,10.2,1410.4
204,204,0.09721197566990127,0.00010053975747410775,0.05383162043508294,7.0,13.2,1415.2
205,205,0.10422193860811475,0.00018017498222358723,0.050057047640090266,6.6,12.0,1421.2
206,206,0.10422193860811475,0.00018178976610629726,0.049662455546889625,4.0,10.0,1429.6
207,207,0.09721197566990127,9.971270397069222e-05,0.05456142032958089,8.4,11.2,1436.8
208,208,0.09721197566990127,0.00011536071311508713,0.06205949721191637,9.8,13.6,1441.6
209,209,0.09482160004696398,6.607341095264017e-05,0.057930377376224876,10.6,13.2,1447.2
210,210,0.09482160004696398,0.00018328422987139368,0.055944107590028026,8.4,12.2,1453.4
211,211,0.0922374224431159,0.0001756430735743141,0.05647396743948431,8.0,13.2,1458.6
212,212,0.09537934130198902,0.0001227567542660658,0.058374225447924276,10.0,12.8,1464.2
213,213,0.0922374224431159,0.00018670827586019537,0.0518026508091559,9.6,13.0,1470.0
214,214,0.0922374224431159,0.00017572689139221565,0.053705092521487544,7.4,13.4,1475.8
215,215,0.0922374224431159,0.00018670827586019537,0.05218869563177251,7.0,14.4,1480.2
216,216,0.09537934130198902,0.000152478958351952,0.05404676883166505,8.4,13.4,1485.2
217,217,0.0922374224431159,0.00015081418962980473,0.05943803066326738,10.6,13.2,1490.4
218,218,0.0922374224431159,0.0001809303902802556,0.059759490798774996,12.8,14.4,1495.6
219,219,0.0922374224431159,0.0001339999576061727,0.0568072378626965,11.8,12.8,1501.6
220,220,0.0922374224431159,0.00014636609879843313,0.05789431036199485,11.2,13.4,1506.6
221,221,0.0922374224431159,0.00018670827586019537,0.05890832932833908,12.6,14.2,1511.6
222,222,0.0922374224431159,0.00015081418962980473,0.05973684005626091,12.4,13.6,1517.6
223,223,0.0979635189058371,0.00017852233012689294,0.059740358556000336,10.2,14.6,1521.8
224,224,0.0979635189058371,0.0001649364188292188,0.05884703888413216,9.2,12.0,1528.6
